Region,NAME,ENGAGEMENT_EMPLOYEE,ENGAGEMENT_MANAGER,ATTRITION_EMPLOYEE,ATTRITION_MANAGER
수도권,Store_001,4.7,4.4,0.07,0.05
수도권,Store_002,4.2,4.4,0.06,0.04
수도권,Store_003,4.6,4.4,0.07,0.05
수도권,Store_004,4.6,4.8,0.07,0.03
수도권,Store_005,4.7,4.4,0.07,0.04
수도권,Store_006,4.6,4.5,0.08,0.04
수도권,Store_007,4.5,4.5,0.07,0.04
수도권,Store_008,4.7,4.7,0.09,0.04
수도권,Store_009,4.5,4.5,0.07,0.05
수도권,Store_010,4.6,4.4,0.05,0.05
수도권,Store_011,4.7,4.7,0.05,0.04
수도권,Store_012,4.6,4.6,0.07,0.04
수도권,Store_013,4.7,4.6,0.06,0.05
수도권,Store_014,4.3,4.5,0.05,0.03
수도권,Store_015,4.6,4.9,0.05,0.05
수도권,Store_016,4.3,4.5,0.06,0.05
수도권,Store_017,4.7,4.7,0.05,0.03
수도권,Store_018,4.8,4.6,0.04,0.03
강원권,Store_019,4.4,4.7,0.06,0.05
강원권,Store_020,4.5,4.6,0.07,0.04
강원권,Store_021,3.4,3.2,0.17,0.14
강원권,Store_022,3.1,3.4,0.17,0.15
강원권,Store_023,3.4,3.4,0.2,0.15
강원권,Store_024,3.2,3.3,0.13,0.11
강원권,Store_025,3,3.1,0.19,0.12
강원권,Store_026,3.2,3.6,0.17,0.17
충청권,Store_027,3.1,3.3,0.15,0.14
충청권,Store_028,3.5,3,0.19,0.16
충청권,Store_029,3.2,3,0.18,0.14
충청권,Store_030,3.3,3.3,0.23,0.14
충청권,Store_031,3.1,3.3,0.19,0.19
충청권,Store_032,3.5,3.4,0.22,0.12
충청권,Store_033,3.2,3.1,0.17,0.11
충청권,Store_034,3.4,3.3,0.14,0.12
충청권,Store_035,3.4,3.5,0.24,0.23
충청권,Store_036,3.4,3.1,0.12,0.16
부산/경남,Store_037,3.1,3.2,0.16,0.15
부산/경남,Store_038,3.5,3.3,0.18,0.12
부산/경남,Store_039,3,3.2,0.18,0.2
부산/경남,Store_040,3.3,3.5,0.17,0.12
부산/경남,Store_041,2,2.1,0.41,0.27
부산/경남,Store_042,2.4,2.1,0.37,0.31
부산/경남,Store_043,2.2,2.3,0.32,0.32
부산/경남,Store_044,2.1,2,0.3,0.31
부산/경남,Store_045,2.5,2.3,0.34,0.31
부산/경남,Store_046,2.5,2.3,0.33,0.34
부산/경남,Store_047,2.3,2.6,0.35,0.26
부산/경남,Store_048,1.9,2.7,0.4,0.29
경북/대구,Store_049,2.1,2.6,0.3,0.27
경북/대구,Store_050,2.3,2.2,0.34,0.29
경북/대구,Store_051,2.3,2.6,0.34,0.32
경북/대구,Store_052,1.7,2.3,0.31,0.26
경북/대구,Store_053,2,2.2,0.37,0.25
경북/대구,Store_054,2.2,2.2,0.33,0.34
경북/대구,Store_055,2.3,2.6,0.33,0.28
경북/대구,Store_056,3.4,4.2,0.14,0.08
경북/대구,Store_057,3.4,4.2,0.2,0.14
경북/대구,Store_058,3.2,4.1,0.1,0.09
부산/경남,Store_059,3.5,4.4,0.12,0.09
수도권,Store_060,2.9,4.2,0.11,0.09
수도권,Store_061,3.2,4.2,0.1,0.07
전라권,Store_062,3.9,4,0.11,0.14
전라권,Store_063,4,4,0.13,0.11
전라권,Store_064,3.8,4,0.13,0.12
전라권,Store_065,3.5,4.1,0.14,0.07
전라권,Store_066,3.3,4.2,0.15,0.09
전라권,Store_067,3.5,4.4,0.14,0.11
전라권,Store_068,3.4,4.2,0.12,0.11
전라권,Store_069,3.4,4.6,0.18,0.11
전라권,Store_070,3.2,4,0.17,0.11
